App,Category,Rating,Reviews,Size_MB,Installs,Type,Price_$,Content_Rating,Genres,Last_Updated,Android_Version
FocusMaze Lite,PRODUCTIVITY,5.0,2762091,67.6,"10,000,000+",Free,0.0,Everyone,Puzzle,2024-09-10,8.0 and up
BoostMind Play,PRODUCTIVITY,2.9,126070,32.6,"1,000+",Free,0.0,Teen,Puzzle,2024-11-16,8.0 and up
BrainLogic Play,EDUCATION,3.7,4324858,112.8,"100,000+",Free,0.0,Teen,Puzzle,2024-11-03,8.0 and up
StudyBase Edge,EDUCATION,4.2,2796471,55.7,"100,000+",Free,0.0,Teen,Education,2024-08-22,8.0 and up
SkillDesk Now,EDUCATION,3.5,3077109,43.0,"1,000,000+",Free,0.0,Everyone,Tools,2024-09-06,5.0 and up
LifeQuest Now,LIFESTYLE,4.9,2844190,30.9,"10,000,000+",Free,0.0,Everyone,Action,2024-11-27,5.0 and up
BuzzBeat Hub,ENTERTAINMENT,4.3,2621588,88.1,"10,000+",Free,0.0,Everyone,Health,2024-12-10,6.0 and up
LoanCoach Dark,FINANCE,4.1,4587888,37.5,"1,000+",Free,0.0,Mature 17+,Education,2024-03-12,6.0 and up
VibeRush,ENTERTAINMENT,4.4,1672805,39.0,"1,000+",Free,0.0,Teen,Action,2024-08-22,8.0 and up
BattlePlus Now,GAME,4.9,4093896,246.9,"10,000,000+",Free,0.0,Mature 17+,Health,2024-11-19,8.0 and up
SceneScan Mix,ENTERTAINMENT,4.8,2254113,113.8,"1,000,000+",Free,0.0,Teen,Tools,2024-06-04,8.0 and up
LifeLink Lite,LIFESTYLE,4.3,2939372,90.0,"1,000,000+",Free,0.0,Everyone,Tools,2024-04-24,6.0 and up
QuestBeat Rush,GAME,4.4,562070,350.0,"10,000,000+",Free,0.0,Teen,Music,2024-11-08,8.0 and up
FunTrack Mix,ENTERTAINMENT,2.9,1506155,56.0,"1,000,000+",Free,0.0,Teen,Health,2024-08-15,4.1 and up
VivaGuard Dark,LIFESTYLE,2.8,2648212,19.1,"1,000+",Free,0.0,Mature 17+,Health,2024-11-17,6.0 and up
BudgetKit Mix,FINANCE,3.9,1192941,16.7,"1,000+",Free,0.0,Teen,Tools,2024-12-11,4.1 and up
StreamCoach One,ENTERTAINMENT,2.5,4889094,58.7,"10,000+",Free,0.0,Everyone,Health,2024-09-01,8.0 and up
StyleWorks Play,LIFESTYLE,3.7,871532,38.7,"10,000,000+",Free,0.0,Teen,Business,2024-11-01,5.0 and up
StudyMix Edge,EDUCATION,3.0,1542257,91.4,"100,000+",Free,0.0,Teen,Music,2024-01-14,4.1 and up
BoostCoach,PRODUCTIVITY,3.4,4372226,24.4,"100,000+",Free,0.0,Teen,Education,2024-01-16,6.0 and up
StudyBook Night,EDUCATION,4.4,2181916,34.2,"10,000+",Free,0.0,Mature 17+,Education,2024-02-11,4.1 and up
WorkArena,PRODUCTIVITY,4.9,602286,13.1,"10,000+",Paid,2.99,Teen,Action,2024-04-19,6.0 and up
LeadTutor Mix,BUSINESS,2.7,1500144,40.9,"1,000,000+",Free,0.0,Teen,Education,2024-10-04,8.0 and up
BizMaze Dark,BUSINESS,3.8,2604894,19.2,"10,000+",Free,0.0,Mature 17+,Puzzle,2024-11-19,4.1 and up
SalesBeat,BUSINESS,4.7,1705253,27.4,"10,000+",Paid,0.0,Mature 17+,Health,2024-01-19,5.0 and up
FundPath Dark,FINANCE,2.7,4274702,29.2,"100,000+",Free,0.0,Mature 17+,Education,2024-03-06,4.1 and up
StudyQuest X,EDUCATION,4.6,4022938,58.0,"1,000,000+",Free,0.0,Mature 17+,Action,2024-06-15,5.0 and up
PlanZone,PRODUCTIVITY,3.4,239789,13.8,"10,000+",Free,0.0,Everyone,Action,2024-03-13,6.0 and up
DailyMaze One,LIFESTYLE,3.3,2975615,14.8,"10,000+",Free,0.0,Everyone,Puzzle,2024-11-05,8.0 and up
HeroZone Pro,GAME,4.9,4888649,350.0,"1,000,000+",Paid,2.99,Teen,Action,2024-04-21,8.0 and up
NestBox Plus,LIFESTYLE,3.0,788150,21.3,"10,000,000+",Paid,0.99,Everyone,Tools,2024-09-30,5.0 and up
PixelSuite Edge,GAME,4.2,3558549,105.8,"1,000,000+",Free,0.0,Teen,Business,2024-03-25,6.0 and up
FilePanel Go,TOOLS,4.6,3746047,47.3,"100,000+",Free,0.0,Everyone,Tools,2024-05-18,8.0 and up
MoodGuard Pro,LIFESTYLE,2.6,2123248,90.0,"10,000,000+",Paid,2.99,Mature 17+,Health,2024-02-08,6.0 and up
StreamPulse Night,ENTERTAINMENT,4.2,4726286,34.9,"1,000+",Free,0.0,Mature 17+,Health,2024-04-14,5.0 and up
TunePlus,ENTERTAINMENT,4.9,4588737,74.4,"1,000,000+",Free,0.0,Everyone,Health,2024-11-19,5.0 and up
HealSound Elite,HEALTH,2.8,1618973,46.5,"100,000+",Paid,2.99,Everyone,Music,2024-10-07,4.1 and up
SmartClass Prime,EDUCATION,4.7,590391,160.0,"10,000,000+",Free,0.0,Teen,Education,2024-05-02,8.0 and up
BlazePanel Play,GAME,4.0,2932245,115.9,"1,000,000+",Free,0.0,Teen,Business,2024-08-05,8.0 and up
ArcTutor Play,GAME,4.0,3683919,120.3,"10,000+",Free,0.0,Teen,Education,2024-03-01,4.1 and up
SkillTrack Pro,EDUCATION,4.0,1539610,94.2,"1,000,000+",Paid,0.0,Mature 17+,Business,2024-04-09,5.0 and up
CoinCoach Night,FINANCE,3.2,2227513,39.1,"1,000+",Free,0.0,Mature 17+,Education,2024-11-02,5.0 and up
CalmCube Dark,HEALTH,4.8,4232949,36.8,"1,000,000+",Free,0.0,Mature 17+,Puzzle,2024-12-19,5.0 and up
LedgerScan One,FINANCE,4.9,3070781,50.3,"10,000,000+",Free,0.0,Mature 17+,Tools,2024-07-22,5.0 and up
LedgerQuest Now,FINANCE,4.1,1143657,32.9,"10,000,000+",Free,0.0,Teen,Action,2024-09-14,6.0 and up
WalletBlast X,FINANCE,4.5,3611656,48.2,"1,000,000+",Free,0.0,Mature 17+,Action,2024-01-05,8.0 and up
TutorMate One,EDUCATION,4.0,1416963,66.3,"10,000,000+",Free,0.0,Mature 17+,Tools,2024-07-15,8.0 and up
LedgerSpark Pro,FINANCE,3.7,2694255,44.3,"10,000+",Free,0.0,Mature 17+,Puzzle,2024-06-28,5.0 and up
StreamStack,ENTERTAINMENT,4.2,4122196,69.5,"1,000,000+",Free,0.0,Mature 17+,Business,2024-12-07,5.0 and up
WorkPanel Pro,BUSINESS,3.9,421290,45.0,"10,000+",Paid,4.99,Everyone,Tools,2024-05-12,5.0 and up
TaskTune Plus,TOOLS,4.0,909255,31.4,"10,000+",Free,0.0,Teen,Music,2024-11-19,8.0 and up
BlazeWorks,GAME,4.5,341217,215.1,"100,000+",Paid,2.99,Teen,Business,2024-09-09,8.0 and up
QuestRaid Max,GAME,3.7,1230756,229.1,"1,000,000+",Free,0.0,Mature 17+,Action,2024-09-21,5.0 and up
TaskEcho,TOOLS,2.6,3289801,27.8,"10,000,000+",Free,0.0,Everyone,Music,2024-04-02,6.0 and up
LearnTutor Edge,EDUCATION,2.9,592642,47.2,"10,000+",Free,0.0,Teen,Education,2024-05-29,4.1 and up
NestEcho,LIFESTYLE,3.6,4037116,19.3,"100,000+",Free,0.0,Teen,Music,2024-05-17,4.1 and up
EduDrive Elite,EDUCATION,4.3,4755195,75.3,"1,000,000+",Paid,4.99,Mature 17+,Business,2024-07-26,4.1 and up
NovaMatch Dark,GAME,4.0,4754906,190.4,"1,000,000+",Free,0.0,Mature 17+,Puzzle,2024-05-04,8.0 and up
MythCoach,GAME,4.1,1472188,350.0,"1,000+",Free,0.0,Teen,Education,2024-08-21,8.0 and up
TapDesk Mix,TOOLS,3.7,1162199,27.2,"1,000+",Free,0.0,Teen,Business,2024-03-01,4.1 and up
CashMind,FINANCE,4.0,3870436,43.2,"10,000+",Free,0.0,Everyone,Education,2024-11-02,4.1 and up
TutorTune Edge,EDUCATION,3.3,414309,29.8,"1,000+",Free,0.0,Teen,Music,2024-09-22,6.0 and up
SyncForce Mix,PRODUCTIVITY,3.7,2381496,20.2,"10,000+",Free,0.0,Teen,Action,2024-05-13,8.0 and up
ToolBoard Max,TOOLS,4.4,3676168,45.9,"10,000,000+",Free,0.0,Mature 17+,Business,2024-11-13,8.0 and up
SparkLogic,ENTERTAINMENT,4.7,4161910,81.3,"10,000+",Free,0.0,Teen,Puzzle,2024-04-22,4.1 and up
NovaMate Max,GAME,3.6,125448,177.6,"1,000+",Free,0.0,Mature 17+,Tools,2024-07-09,6.0 and up
GridBeat Plus,TOOLS,2.6,3770193,13.3,"10,000,000+",Free,0.0,Teen,Music,2024-07-05,6.0 and up
BookTrack Edge,EDUCATION,2.9,1917053,63.4,"1,000+",Free,0.0,Teen,Business,2024-11-14,4.1 and up
BlazeRiddle Play,GAME,2.6,2199401,180.5,"10,000+",Free,0.0,Teen,Puzzle,2024-03-29,4.1 and up
AuraBoard Go,LIFESTYLE,4.1,635729,18.9,"100,000+",Free,0.0,Everyone,Business,2024-07-05,8.0 and up
VoltWave Dark,TOOLS,3.3,2801455,18.1,"1,000,000+",Free,0.0,Mature 17+,Music,2024-11-02,4.1 and up
CalmTrack Go,HEALTH,3.9,808268,32.4,"1,000+",Free,0.0,Everyone,Business,2024-05-11,5.0 and up
BlazeLab 80,GAME,3.7,4524484,158.1,"10,000+",Free,0.0,Teen,Education,2024-12-25,6.0 and up
BookRhythm Now,EDUCATION,2.7,2864150,62.9,"10,000,000+",Paid,4.99,Everyone,Music,2024-05-02,4.1 and up
OfficeWorks,BUSINESS,3.5,3564472,26.2,"1,000+",Free,0.0,Mature 17+,Business,2024-02-17,5.0 and up
DeskKit,PRODUCTIVITY,3.1,181958,22.9,"1,000+",Free,0.0,Teen,Tools,2024-10-14,6.0 and up
MintZone,FINANCE,3.5,2582824,55.8,"1,000,000+",Paid,1.99,Everyone,Action,2024-06-27,5.0 and up
ClassDrive Lite,EDUCATION,3.0,3769467,98.0,"10,000+",Free,0.0,Everyone,Business,2024-06-28,5.0 and up
StreamMind Night,ENTERTAINMENT,4.6,1206761,20.4,"100,000+",Free,0.0,Mature 17+,Education,2024-04-08,4.1 and up
SceneSpark Prime,ENTERTAINMENT,2.9,953702,102.0,"10,000,000+",Paid,0.99,Everyone,Puzzle,2024-11-25,6.0 and up
WorkScan X,BUSINESS,4.9,217780,35.0,"10,000+",Free,0.0,Mature 17+,Tools,2024-02-03,5.0 and up
CoinMaze Mix,FINANCE,3.5,4099916,67.5,"10,000,000+",Free,0.0,Teen,Puzzle,2024-03-10,8.0 and up
WellMate Plus,HEALTH,4.6,4836927,26.5,"1,000+",Free,0.0,Teen,Tools,2024-06-19,6.0 and up
TradeMatch Hub,BUSINESS,4.1,2437255,20.2,"1,000,000+",Free,0.0,Everyone,Puzzle,2024-09-28,8.0 and up
OfficeRush,BUSINESS,4.3,2702892,44.9,"1,000,000+",Free,0.0,Teen,Action,2024-02-28,4.1 and up
NovaQuest,GAME,4.4,1790018,350.0,"100,000+",Free,0.0,Teen,Education,2024-06-29,8.0 and up
TuneSound Now,ENTERTAINMENT,3.8,1826535,43.4,"1,000,000+",Free,0.0,Everyone,Music,2024-01-19,6.0 and up
TurboMaze Edge,GAME,3.9,4513080,207.0,"1,000+",Free,0.0,Teen,Puzzle,2024-08-13,5.0 and up
NoteMate Pro,PRODUCTIVITY,3.8,1338540,30.7,"100,000+",Paid,4.99,Everyone,Tools,2024-04-04,5.0 and up
LoanCoach Max,FINANCE,4.0,4466961,39.5,"10,000+",Free,0.0,Mature 17+,Education,2024-10-23,6.0 and up
CalmSuite Elite,HEALTH,2.6,2181923,29.8,"1,000,000+",Paid,2.99,Mature 17+,Business,2024-03-21,5.0 and up
CalmDrift Max,HEALTH,3.5,1478778,40.0,"100,000+",Paid,2.99,Mature 17+,Action,2024-06-23,8.0 and up
TutorGuide Go,EDUCATION,4.0,1565223,79.8,"1,000+",Free,0.0,Everyone,Education,2024-08-09,5.0 and up
WorkMind One,BUSINESS,4.0,2763408,59.9,"10,000,000+",Free,0.0,Everyone,Education,2024-04-12,5.0 and up
TimeMix Now,PRODUCTIVITY,4.5,688162,92.4,"10,000,000+",Free,0.0,Teen,Music,2024-02-23,8.0 and up
BuzzLab Pro,ENTERTAINMENT,4.1,402990,139.9,"1,000+",Paid,4.99,Teen,Education,2024-07-01,8.0 and up
PulseWave,HEALTH,5.0,1038346,38.5,"1,000+",Free,0.0,Teen,Music,2024-12-16,8.0 and up
BoostZone One,PRODUCTIVITY,3.2,2878360,79.6,"10,000,000+",Free,0.0,Teen,Action,2024-11-13,4.1 and up
DailyRush Edge,LIFESTYLE,3.4,1168942,35.7,"100,000+",Free,0.0,Teen,Action,2024-12-20,8.0 and up
StyleTrack,LIFESTYLE,3.5,1449097,52.8,"10,000,000+",Free,0.0,Everyone,Business,2024-12-14,8.0 and up
TurboEcho Now,GAME,3.7,2531538,100.3,"1,000+",Free,0.0,Everyone,Music,2024-11-16,4.1 and up
StreamRhythm Max,ENTERTAINMENT,4.6,2108552,93.2,"1,000,000+",Free,0.0,Mature 17+,Music,2024-03-08,5.0 and up
BookLoop Max,EDUCATION,3.1,937645,39.9,"10,000+",Free,0.0,Mature 17+,Puzzle,2024-01-28,8.0 and up
HeartTile Dark,HEALTH,4.4,3502636,72.5,"1,000,000+",Free,0.0,Mature 17+,Puzzle,2024-09-30,6.0 and up
BizTrack Plus,BUSINESS,3.5,1386699,28.3,"1,000,000+",Paid,0.99,Mature 17+,Business,2024-10-08,8.0 and up
LeadArena Hub,BUSINESS,4.0,3816136,42.4,"1,000+",Free,0.0,Everyone,Action,2024-12-25,8.0 and up
ZenPulse Prime,HEALTH,4.1,3066993,44.9,"10,000,000+",Paid,0.0,Everyone,Health,2024-11-06,4.1 and up
BudgetLogic Go,FINANCE,3.4,2846240,72.6,"100,000+",Free,0.0,Everyone,Puzzle,2024-04-28,6.0 and up
SkillClass Play,EDUCATION,3.8,2118443,88.7,"1,000,000+",Free,0.0,Teen,Education,2024-05-13,5.0 and up
DeskDrift,PRODUCTIVITY,3.5,4456407,88.3,"10,000,000+",Free,0.0,Teen,Action,2024-05-08,5.0 and up
WalletLife,FINANCE,2.7,3678631,61.0,"100,000+",Free,0.0,Mature 17+,Health,2024-01-08,6.0 and up
MintCoach Elite,FINANCE,3.6,4556776,29.2,"1,000,000+",Paid,0.0,Teen,Education,2024-02-20,8.0 and up
QuestMate Now,GAME,2.7,1298001,147.5,"100,000+",Free,0.0,Everyone,Tools,2024-12-06,4.1 and up
StyleWave Prime,LIFESTYLE,3.5,3731414,24.4,"10,000,000+",Paid,4.99,Mature 17+,Music,2024-10-07,6.0 and up
MintDrift Night,FINANCE,4.0,1814198,33.9,"10,000+",Free,0.0,Mature 17+,Action,2024-06-23,6.0 and up
CashDesk Go,FINANCE,3.9,2107369,101.3,"10,000,000+",Free,0.0,Teen,Tools,2024-07-01,5.0 and up
GridFlow,TOOLS,4.2,218411,18.6,"1,000+",Free,0.0,Mature 17+,Business,2024-07-10,4.1 and up
HeroTune Plus,GAME,2.7,985142,114.1,"100,000+",Free,0.0,Teen,Music,2024-09-05,6.0 and up
ShowBeat,ENTERTAINMENT,4.1,159302,42.4,"10,000+",Free,0.0,Teen,Music,2024-08-22,4.1 and up
SwiftBook Plus,TOOLS,3.3,4691076,25.3,"100,000+",Paid,4.99,Mature 17+,Education,2024-03-23,8.0 and up
QuickMate,TOOLS,3.5,3167769,12.7,"100,000+",Free,0.0,Teen,Tools,2024-04-02,5.0 and up
VitaBeat Mix,HEALTH,4.6,463947,35.1,"1,000,000+",Free,0.0,Teen,Music,2024-11-07,8.0 and up
NestLogic Edge,LIFESTYLE,2.5,2964401,22.3,"1,000+",Free,0.0,Teen,Puzzle,2024-09-24,4.1 and up
TaxBlast Play,FINANCE,4.0,2681216,75.6,"100,000+",Free,0.0,Teen,Action,2024-04-29,8.0 and up
AuraTile Pro,LIFESTYLE,4.0,1192107,43.4,"10,000,000+",Free,0.0,Mature 17+,Puzzle,2024-03-11,5.0 and up
TutorPath Go,EDUCATION,3.5,187781,21.7,"10,000,000+",Free,0.0,Everyone,Education,2024-01-17,4.1 and up
CareSteps,HEALTH,3.1,237209,51.8,"1,000,000+",Free,0.0,Everyone,Health,2024-09-09,6.0 and up
SceneCoach,ENTERTAINMENT,3.1,2857291,71.1,"1,000+",Free,0.0,Teen,Education,2024-05-01,8.0 and up
VivaForce Rush,LIFESTYLE,4.7,2732491,24.7,"1,000+",Free,0.0,Teen,Action,2024-01-10,5.0 and up
OfficeWave Rush,BUSINESS,3.6,4834787,98.3,"10,000,000+",Free,0.0,Teen,Music,2024-10-13,6.0 and up
NoteGuard Now,EDUCATION,3.3,2274326,18.1,"10,000+",Free,0.0,Everyone,Tools,2024-11-11,5.0 and up
ArcKit Rush,GAME,3.6,3602625,128.4,"1,000,000+",Free,0.0,Teen,Tools,2024-11-21,4.1 and up
TunePanel,ENTERTAINMENT,4.2,1583224,117.5,"1,000,000+",Free,0.0,Mature 17+,Business,2024-09-29,4.1 and up
StudyClass Dark,EDUCATION,2.9,751528,34.9,"10,000,000+",Free,0.0,Mature 17+,Education,2024-11-01,8.0 and up
HeartQuest Now,HEALTH,3.6,513323,91.7,"10,000,000+",Free,0.0,Mature 17+,Action,2024-10-19,5.0 and up
VoltTrack Lite,TOOLS,4.0,3931596,21.6,"10,000+",Free,0.0,Everyone,Business,2024-07-28,5.0 and up
FileEcho,TOOLS,4.9,3214225,25.7,"10,000+",Free,0.0,Teen,Music,2024-08-05,5.0 and up
CareSteps Mix,HEALTH,3.1,3460999,21.3,"1,000+",Free,0.0,Teen,Health,2024-08-28,4.1 and up
NoteBase Play,PRODUCTIVITY,3.4,2332224,54.7,"1,000,000+",Free,0.0,Teen,Education,2024-07-18,8.0 and up
TapLife Now,TOOLS,3.4,2330239,36.2,"1,000,000+",Free,0.0,Everyone,Health,2024-08-03,5.0 and up
NovaRush Now,GAME,4.0,1863472,239.2,"10,000,000+",Free,0.0,Everyone,Action,2024-07-23,5.0 and up
PixelTrack,GAME,3.4,654234,147.7,"1,000+",Free,0.0,Everyone,Health,2024-08-03,6.0 and up
WorkPlus,BUSINESS,3.8,2250407,50.3,"1,000,000+",Paid,2.99,Everyone,Health,2024-03-20,5.0 and up
PayQuest,FINANCE,4.5,1999294,25.4,"1,000+",Free,0.0,Mature 17+,Action,2024-09-23,8.0 and up
PlanDrift Lite,PRODUCTIVITY,4.3,2001686,24.6,"1,000+",Free,0.0,Everyone,Action,2024-02-04,6.0 and up
VibeQuest Now,ENTERTAINMENT,3.6,1684542,100.6,"10,000,000+",Free,0.0,Everyone,Education,2024-10-15,6.0 and up
FilePulse Max,TOOLS,4.7,454428,20.3,"1,000+",Paid,0.99,Everyone,Health,2024-01-18,6.0 and up
BlazePanel,GAME,3.9,1472552,255.1,"10,000+",Free,0.0,Teen,Business,2024-06-13,4.1 and up
PulseZone,HEALTH,3.8,4473024,25.6,"10,000+",Paid,4.99,Teen,Action,2024-01-13,6.0 and up
SwiftSound Mix,TOOLS,2.6,4856864,20.0,"100,000+",Free,0.0,Teen,Music,2024-07-20,5.0 and up
TaxTrack Max,FINANCE,5.0,562631,98.6,"10,000,000+",Free,0.0,Mature 17+,Health,2024-08-16,4.1 and up
FitRaid Night,HEALTH,2.8,3529811,25.9,"100,000+",Free,0.0,Mature 17+,Action,2024-12-11,4.1 and up
SmartTrack One,EDUCATION,3.1,4808173,31.3,"10,000+",Free,0.0,Everyone,Business,2024-01-01,4.1 and up
EduScan,EDUCATION,2.6,1598109,60.4,"100,000+",Paid,0.0,Teen,Tools,2024-11-14,4.1 and up
CoreClass Go,TOOLS,4.1,4194473,34.2,"10,000,000+",Free,0.0,Mature 17+,Education,2024-08-04,4.1 and up
LedgerCoach Plus,FINANCE,3.1,3813243,51.3,"10,000,000+",Free,0.0,Teen,Health,2024-02-03,4.1 and up
TaskHub,PRODUCTIVITY,3.0,1211579,41.1,"1,000+",Free,0.0,Mature 17+,Tools,2024-12-24,4.1 and up
FixRaid Max,TOOLS,2.7,4561317,35.0,"1,000,000+",Free,0.0,Mature 17+,Action,2024-09-22,6.0 and up
QuestZone Hub,GAME,2.8,1195895,224.8,"1,000+",Free,0.0,Everyone,Action,2024-05-07,8.0 and up
BloomWave Now,LIFESTYLE,4.0,1156093,42.8,"10,000,000+",Free,0.0,Everyone,Music,2024-07-30,5.0 and up
VoltJam Plus,TOOLS,4.2,1974334,49.7,"10,000+",Paid,0.0,Mature 17+,Music,2024-09-19,5.0 and up
TapGuard,TOOLS,3.5,3898200,18.4,"10,000+",Free,0.0,Everyone,Health,2024-11-07,6.0 and up
PulseScan,HEALTH,3.7,3388455,12.5,"1,000+",Free,0.0,Mature 17+,Tools,2024-03-20,6.0 and up
AuraMate X,LIFESTYLE,4.2,2742984,63.2,"10,000,000+",Free,0.0,Mature 17+,Tools,2024-06-13,4.1 and up
HeroBlast Rush,GAME,2.5,3492109,124.4,"10,000+",Free,0.0,Teen,Action,2024-09-08,8.0 and up
CoreCare Prime,TOOLS,3.3,1279190,25.5,"10,000,000+",Free,0.0,Everyone,Health,2024-01-12,4.1 and up
HealQuest Prime,HEALTH,4.9,3333188,71.1,"10,000+",Paid,2.99,Everyone,Action,2024-10-30,6.0 and up
CashWave One,FINANCE,4.0,4531221,25.8,"10,000,000+",Free,0.0,Everyone,Music,2024-07-30,4.1 and up
SwiftDrive,TOOLS,3.1,2584192,12.4,"100,000+",Free,0.0,Teen,Business,2024-10-08,5.0 and up
GlowLoop Play,LIFESTYLE,3.8,1808296,18.0,"10,000,000+",Free,0.0,Teen,Puzzle,2024-04-21,5.0 and up
LeadCube Max,BUSINESS,3.4,4599767,33.1,"10,000,000+",Paid,2.99,Teen,Puzzle,2024-07-29,4.1 and up
MoodStrike Go,LIFESTYLE,3.8,4865323,27.5,"1,000+",Free,0.0,Everyone,Action,2024-08-26,8.0 and up
BookPanel Go,EDUCATION,2.8,4363099,65.3,"100,000+",Free,0.0,Everyone,Tools,2024-09-24,4.1 and up
HeroTrack Lite,GAME,2.8,2797931,204.2,"1,000,000+",Free,0.0,Everyone,Music,2024-10-24,4.1 and up
VibeQuest Edge,ENTERTAINMENT,2.9,4374152,33.8,"1,000+",Free,0.0,Teen,Education,2024-11-12,8.0 and up
FixBase Edge,TOOLS,4.8,269170,9.8,"1,000,000+",Free,0.0,Teen,Education,2024-02-27,8.0 and up
DailySpark,LIFESTYLE,4.3,2569941,28.0,"10,000+",Free,0.0,Mature 17+,Puzzle,2024-02-03,8.0 and up
VibeWorks Mix,ENTERTAINMENT,2.9,441914,72.3,"1,000,000+",Free,0.0,Teen,Business,2024-09-19,5.0 and up
CalmGrid Now,HEALTH,3.0,578536,55.7,"10,000,000+",Free,0.0,Mature 17+,Puzzle,2024-12-30,4.1 and up
TeamQuest Now,BUSINESS,4.3,837403,58.2,"1,000,000+",Free,0.0,Everyone,Action,2024-02-04,6.0 and up
ArcWorks Play,GAME,2.9,3345513,153.9,"1,000+",Free,0.0,Teen,Business,2024-09-27,8.0 and up
GlowCoach One,LIFESTYLE,3.1,814432,32.3,"1,000+",Free,0.0,Everyone,Education,2024-08-14,8.0 and up
TuneGuard One,ENTERTAINMENT,4.9,734993,97.2,"1,000,000+",Free,0.0,Everyone,Tools,2024-01-25,4.1 and up
BizWave One,BUSINESS,3.1,2263439,36.5,"1,000+",Free,0.0,Everyone,Music,2024-08-21,6.0 and up
TutorRhythm Now,EDUCATION,4.2,3135822,28.4,"1,000+",Free,0.0,Everyone,Music,2024-02-28,4.1 and up
NovaBlast Rush,GAME,4.9,4275125,156.8,"1,000,000+",Free,0.0,Teen,Action,2024-09-07,4.1 and up
BlazeLogic Now,GAME,3.4,2876290,202.9,"100,000+",Free,0.0,Everyone,Puzzle,2024-11-30,8.0 and up
NoteBlast Night,EDUCATION,2.5,2938697,87.1,"100,000+",Free,0.0,Mature 17+,Action,2024-03-26,8.0 and up
FixBeat Max,TOOLS,3.1,1416852,16.9,"10,000+",Paid,0.99,Teen,Music,2024-09-07,5.0 and up
BookQuest,EDUCATION,4.6,2331266,57.6,"1,000+",Free,0.0,Everyone,Education,2024-06-28,6.0 and up
BattleSound Pro,GAME,4.7,3689034,179.8,"1,000,000+",Paid,1.99,Teen,Music,2024-07-25,6.0 and up
HeroWorks Dark,GAME,4.4,4396660,132.6,"1,000+",Free,0.0,Mature 17+,Business,2024-12-09,8.0 and up
PlayKit Go,ENTERTAINMENT,2.8,3702428,174.0,"10,000,000+",Free,0.0,Everyone,Tools,2024-05-28,8.0 and up
DealMate,BUSINESS,4.5,2281618,12.3,"1,000+",Free,0.0,Mature 17+,Tools,2024-03-11,8.0 and up
StudyLife,EDUCATION,4.8,3930020,22.9,"1,000+",Free,0.0,Everyone,Health,2024-04-30,6.0 and up
OfficeTrack Night,BUSINESS,4.0,3641781,19.2,"100,000+",Free,0.0,Mature 17+,Music,2024-09-09,5.0 and up
EduEcho Go,EDUCATION,4.9,4079451,21.0,"1,000,000+",Free,0.0,Everyone,Music,2024-04-02,6.0 and up
WellBox Pro,HEALTH,4.6,960662,26.2,"1,000+",Paid,2.99,Teen,Tools,2024-09-12,8.0 and up
QuestGuard Now,GAME,4.2,2188380,276.9,"100,000+",Free,0.0,Everyone,Health,2024-09-10,8.0 and up
BuzzDrive,ENTERTAINMENT,3.9,1548495,62.5,"10,000+",Free,0.0,Teen,Business,2024-12-17,5.0 and up
MarketRiddle Lite,BUSINESS,3.4,1567353,37.4,"100,000+",Free,0.0,Everyone,Puzzle,2024-10-14,4.1 and up
SmartChord,EDUCATION,2.9,3325505,88.2,"100,000+",Free,0.0,Everyone,Music,2024-11-04,4.1 and up
FlowLink Dark,PRODUCTIVITY,4.0,3385754,57.9,"100,000+",Free,0.0,Mature 17+,Tools,2024-02-28,6.0 and up
HeartDash Night,HEALTH,3.3,755622,27.3,"1,000+",Free,0.0,Mature 17+,Action,2024-03-09,4.1 and up
HomeEcho Plus,LIFESTYLE,4.7,3994538,37.2,"1,000+",Paid,0.99,Mature 17+,Music,2024-03-26,4.1 and up
GridForce One,TOOLS,5.0,2076485,20.1,"10,000+",Free,0.0,Everyone,Action,2024-09-30,6.0 and up
SalesStack Go,BUSINESS,4.4,2141922,34.1,"10,000,000+",Free,0.0,Everyone,Business,2024-08-14,8.0 and up
SparkWave One,ENTERTAINMENT,2.7,3144321,71.0,"10,000,000+",Free,0.0,Everyone,Music,2024-03-21,4.1 and up
StyleScan One,LIFESTYLE,3.2,285632,19.9,"10,000,000+",Free,0.0,Teen,Tools,2024-04-23,8.0 and up
FlowStack Edge,PRODUCTIVITY,2.8,1962899,21.2,"10,000+",Free,0.0,Teen,Business,2024-07-02,6.0 and up
TaskPilot One,TOOLS,4.1,1906872,24.7,"10,000,000+",Free,0.0,Everyone,Business,2024-10-06,8.0 and up
SyncLogic One,PRODUCTIVITY,4.4,4026400,62.7,"10,000,000+",Free,0.0,Mature 17+,Puzzle,2024-11-17,8.0 and up
VivaChord,LIFESTYLE,4.8,1396446,59.5,"100,000+",Free,0.0,Mature 17+,Music,2024-11-13,6.0 and up
ToolDash Dark,TOOLS,3.6,667550,10.1,"1,000+",Free,0.0,Mature 17+,Action,2024-02-23,8.0 and up
FlowDrift Plus,PRODUCTIVITY,4.8,2195700,29.4,"1,000+",Paid,1.99,Everyone,Action,2024-07-15,4.1 and up
SparkTrack Dark,ENTERTAINMENT,4.7,1588246,44.8,"100,000+",Free,0.0,Mature 17+,Music,2024-10-19,4.1 and up
BookGuard Hub,EDUCATION,3.3,4705825,65.0,"100,000+",Free,0.0,Everyone,Health,2024-10-19,4.1 and up
